main-INFO-  2021-08-03 15:42:26,414-Welcome to LoRaMAC LOGGER
lora_mac-INFO-  2021-08-03 15:42:26,414-Init MAC
lora_phy-INFO-  2021-08-03 15:42:26,415-Init PHY
lora_phy-INFO-  2021-08-03 15:42:26,421-PHY TX:mac pause
lora_phy-INFO-  2021-08-03 15:42:26,435-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-03 15:42:26,449-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-03 15:42:26,456-PHY TX:radio rx 0
main-DEBUG-  2021-08-03 15:42:34,518-[383: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 15:42:34,519-[383: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 15:42:34,520-[383: INFO: LoRa MAC  ] Node ID: 45560
main-DEBUG-  2021-08-03 15:42:34,523-[383: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.b1f8[383: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 15:42:34,533-[383: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-03 15:42:34,534-[383: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-03 15:42:34,535-[383: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-03 15:42:34,535-[383: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-03 15:42:34,536-[383: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-03 15:42:39,541-[388: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-03 15:42:39,544-[388: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-03 15:42:39,546-[388: DBG : LoRa MAC  ] retransmit frame: {src:248:45560 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-03 15:42:39,547-[388: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-03 15:42:40,518-[44: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-03 15:42:40,519-[44: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-03 15:42:40,520-[44: INFO: LoRa MAC  ] Node ID: 24859
main-DEBUG-  2021-08-03 15:42:40,523-[44: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[44: INFO: LoRa MAC  ]
main-DEBUG-  2021-08-03 15:42:40,524-[44: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-03 15:42:40,532-[44: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-03 15:42:40,533-[44: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-03 15:42:40,534-[44: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-03 15:42:40,535-[44: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-03 15:42:41,423-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-17-g9bb184cd0-dirty
main-DEBUG-  2021-08-03 15:42:41,425-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-03 15:42:41,427-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-03 15:42:41,428-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-03 15:42:41,429-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-03 15:42:41,444-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-03 15:42:41,444-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-03 15:42:41,445-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-03 15:42:41,446-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-03 15:42:41,446-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-03 15:42:41,456-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-03 15:42:41,457-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-03 15:42:44,565-[393: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-03 15:42:44,567-[393: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-03 15:42:44,570-[393: DBG : LoRa MAC  ] retransmit frame: {src:248:45560 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-03 15:42:44,572-[393: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-03 15:42:49,588-[398: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-03 15:42:49,590-[398: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-03 15:42:49,593-[398: DBG : LoRa MAC  ] retransmit frame: {src:248:45560 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-03 15:42:49,594-[398: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-03 15:42:54,409-[403: INFO: App       ] Sending request 5 to 5f:756d:6f6e:735f:6172:6e61:7564::
main-DEBUG-  2021-08-03 15:42:54,608-[403: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-03 15:42:54,610-[403: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-03 15:42:54,613-[403: INFO: LoRa MAC  ] Unable to send frame {src:248:45560 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-03 15:42:54,727-[13: INFO: Interface ] Receive data for loramac whouhouuuuuu
