lora_mac-INFO-  2021-08-05 14:53:47,284-Init MAC
lora_phy-INFO-  2021-08-05 14:53:47,284-Init PHY
lora_phy-INFO-  2021-08-05 14:53:47,288-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 14:53:47,301-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 14:53:47,316-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 14:53:47,322-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:53:51,245-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-23-g8118b245d-dirty
main-DEBUG-  2021-08-05 14:53:51,247-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 14:53:51,248-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 14:53:51,250-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 14:53:51,251-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 14:53:51,266-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 14:53:51,268-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 14:53:51,269-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 14:53:51,270-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 14:53:51,271-[0: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-05 14:53:51,289-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 14:53:51,291-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 14:53:51,292-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 14:53:51,294-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:53:51,295-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 14:53:51,592-[0: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 14:53:53,209-[2: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 14:53:53,211-[2: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 14:53:53,212-[2: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-05 14:53:53,214-[2: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-05 14:53:53,215-[2: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-05 14:53:53,216-[2: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-05 14:53:53,217-[2: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-05 14:53:53,228-[2: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-05 14:53:53,244-[2: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-05 14:53:53,253-[2: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-05 14:53:54,260-[3: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-05 14:53:54,271-[3: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-05 14:53:54,287-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-05 14:53:54,288-RX process receive
lora_mac-DEBUG-  2021-08-05 14:53:54,288-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-05 14:53:54,288-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-05 14:53:54,288-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:53:54,289-look child with prefix: 27
lora_mac-DEBUG-  2021-08-05 14:53:54,289-child is: None
lora_mac-INFO-  2021-08-05 14:53:54,290-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:53:54,290-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-05 14:53:54,291-send join response
lora_phy-INFO-  2021-08-05 14:53:54,292-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:53:54,292-RX process: mac_rx end
