# TEST set prefix RPL

lora_mac-INFO-  2021-08-05 14:56:56,173-Init MAC
lora_phy-INFO-  2021-08-05 14:56:56,173-Init PHY
lora_phy-INFO-  2021-08-05 14:56:56,177-PHY TX:mac pause
lora_phy-INFO-  2021-08-05 14:56:56,191-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-05 14:56:56,205-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-05 14:56:56,212-PHY TX:radio rx 0
main-DEBUG-  2021-08-05 14:56:58,435-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-23-g8118b245d-dirty
main-DEBUG-  2021-08-05 14:56:58,436-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-05 14:56:58,438-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-05 14:56:58,439-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-05 14:56:58,442-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-05 14:56:58,457-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-05 14:56:58,458-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-05 14:56:58,460-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-05 14:56:58,461-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-05 14:56:58,462-[0: INFO: LoRa MAC  ] Init LoRa MAC
main-DEBUG-  2021-08-05 14:56:58,479-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-05 14:56:58,480-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-05 14:56:58,480-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-05 14:56:58,481-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-05 14:56:58,482-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-05 14:56:58,782-[0: INFO: App       ] Welcome server
main-DEBUG-  2021-08-05 14:57:00,906-[3: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-05 14:57:00,908-[3: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-05 14:57:00,909-[3: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-05 14:57:00,911-[3: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-05 14:57:00,915-[3: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-05 14:57:00,916-[3: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-05 14:57:00,917-[3: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-05 14:57:00,925-[3: INFO: LoRa PHY  ] PHY TX:radio set freq 868100000
main-DEBUG-  2021-08-05 14:57:00,941-[3: INFO: LoRa PHY  ] PHY TX:radio set wdt 0
main-DEBUG-  2021-08-05 14:57:00,951-[3: INFO: LoRa PHY  ] PHY TX:radio tx 1B611B0100000000
main-DEBUG-  2021-08-05 14:57:01,958-[4: INFO: LoRa PHY  ] PHY TX:radio set wdt 3000
main-DEBUG-  2021-08-05 14:57:01,969-[4: INFO: LoRa PHY  ] PHY TX:radio rx 0
lora_phy-INFO-  2021-08-05 14:57:01,985-PHY RX:1B611B0100000000
lora_mac-DEBUG-  2021-08-05 14:57:01,985-RX process receive
lora_mac-DEBUG-  2021-08-05 14:57:01,985-RX process set is_listen=False
lora_mac-DEBUG-  2021-08-05 14:57:01,986-RX process: call mac_rx
lora_mac-DEBUG-  2021-08-05 14:57:01,986-MAC RX: LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:57:01,986-look child with prefix: 27
lora_mac-DEBUG-  2021-08-05 14:57:01,986-child is: None
lora_mac-INFO-  2021-08-05 14:57:01,986-reveive join frame LoraFrame(src_addr=LoraAddr(prefix=27, node_id=24859), dest_addr=LoraAddr(prefix=1, node_id=0), command=<MacCommand.JOIN: 0>, payload='', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:57:01,986-new child Child(2:24859) created
lora_mac-DEBUG-  2021-08-05 14:57:01,987-send join response
lora_phy-INFO-  2021-08-05 14:57:01,987-MAC send:LoraFrame(src_addr=LoraAddr(prefix=1, node_id=0), dest_addr=LoraAddr(prefix=27, node_id=24859), command=<MacCommand.JOIN_RESPONSE: 1>, payload='02', seq=0, k=False, has_next=False)
lora_mac-DEBUG-  2021-08-05 14:57:01,987-RX process: mac_rx end
lora_phy-INFO-  2021-08-05 14:57:01,987-PHY TX:radio tx 0100001B611B010002
lora_mac-DEBUG-  2021-08-05 14:57:01,987-RX process acquire lock for can_listen
lora_mac-DEBUG-  2021-08-05 14:57:01,987-can listen: True
lora_mac-DEBUG-  2021-08-05 14:57:01,988-is_listen: False
lora_phy-INFO-  2021-08-05 14:57:02,992-PHY TX:radio rx 0
