lora_mac-INFO-  2021-08-06 14:42:29,740-Init MAC
lora_phy-INFO-  2021-08-06 14:42:29,740-Init PHY
lora_phy-INFO-  2021-08-06 14:42:29,744-PHY TX:mac pause
lora_phy-INFO-  2021-08-06 14:42:29,757-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 14:42:29,771-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 14:42:29,779-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 14:42:31,629-[0: INFO: Main      ] Starting Contiki-NG-develop/v4.7-24-gf18a6e752-dirty
main-DEBUG-  2021-08-06 14:42:31,629-[0: INFO: Main      ] - Routing: RPL Lite
main-DEBUG-  2021-08-06 14:42:31,630-[0: INFO: Main      ] - Net: sicslowpan
main-DEBUG-  2021-08-06 14:42:31,630-[0: INFO: Main      ] - MAC: CSMA
main-DEBUG-  2021-08-06 14:42:31,634-[0: INFO: Main      ] - 802.15.4 PANID: 0xabcd
main-DEBUG-  2021-08-06 14:42:31,651-[0: INFO: Main      ] - 802.15.4 Default channel: 26
main-DEBUG-  2021-08-06 14:42:31,651-[0: INFO: Main      ] Node ID: 24859
main-DEBUG-  2021-08-06 14:42:31,652-[0: INFO: Main      ] Link-layer address: 0012.4b00.060d.611b
main-DEBUG-  2021-08-06 14:42:31,653-[0: INFO: Interface ] Welcome to LoRaMAC interface !
main-DEBUG-  2021-08-06 14:42:31,670-[0: INFO: Interface ] Init LoRaMAC Interface
main-DEBUG-  2021-08-06 14:42:31,670-[0: INFO: Interface ] Welcome !
main-DEBUG-  2021-08-06 14:42:31,671-[0: INFO: RPL       ] initializing
main-DEBUG-  2021-08-06 14:42:31,671-[0: INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:60d:611b
main-DEBUG-  2021-08-06 14:42:31,672-[0: INFO: Zoul      ] Zolertia RE-Mote revision B platform
main-DEBUG-  2021-08-06 14:42:31,993-[1: INFO: App       ] Welcome server
main-DEBUG-  2021-08-06 14:42:35,479-[4: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 14:42:35,481-[4: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 14:42:35,482-[4: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 14:42:35,484-[4: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 14:42:35,485-[4: DBG : LoRa PHY  ] enter UART_TX
