lora_ip-INFO-  2021-08-06 18:19:50,746-Init IP layer
lora_mac-INFO-  2021-08-06 18:19:50,747-Init MAC
lora_phy-INFO-  2021-08-06 18:19:50,747-Init PHY
lora_phy-INFO-  2021-08-06 18:19:50,755-PHY TX:mac pause
lora_ip-DEBUG-  2021-08-06 18:19:50,758-listener registered !
lora_phy-INFO-  2021-08-06 18:19:50,768-PHY TX:radio set freq 868100000
lora_phy-INFO-  2021-08-06 18:19:50,783-PHY TX:radio set wdt 0
lora_phy-INFO-  2021-08-06 18:19:50,789-PHY TX:radio rx 0
main-DEBUG-  2021-08-06 18:19:55,441-[6: INFO: Interface ] Button pushed
main-DEBUG-  2021-08-06 18:19:55,442-[6: INFO: LoRa MAC  ] Start LoRaMAC RPL root
main-DEBUG-  2021-08-06 18:19:55,442-[6: DBG : LoRa MAC  ] initial state: 0
main-DEBUG-  2021-08-06 18:19:55,443-[6: INFO: LoRa PHY  ] Init LoRa PHY
main-DEBUG-  2021-08-06 18:19:55,443-[6: DBG : LoRa MAC  ] SET retransmit timer
main-DEBUG-  2021-08-06 18:19:55,445-[6: DBG : LoRa MAC  ] initialization complete
main-DEBUG-  2021-08-06 18:19:55,446-[6: INFO: LoRa PHY  ] PHY TX:mac pause
main-DEBUG-  2021-08-06 18:20:00,457-[11: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-06 18:20:00,458-[11: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-06 18:20:00,460-[11: DBG : LoRa MAC  ] retransmit frame: {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-06 18:20:00,464-[11: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-06 18:20:05,481-[16: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-06 18:20:05,483-[16: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-06 18:20:05,486-[16: DBG : LoRa MAC  ] retransmit frame: {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-06 18:20:05,488-[16: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-06 18:20:10,504-[21: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-06 18:20:10,505-[21: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-06 18:20:10,506-[21: DBG : LoRa MAC  ] retransmit frame: {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
main-DEBUG-  2021-08-06 18:20:10,507-[21: ERR : LoRa MAC  ] RESTART retransmit timer because a frame was retransmit
main-DEBUG-  2021-08-06 18:20:15,524-[26: INFO: LoRa MAC  ] retransmit timeout !
main-DEBUG-  2021-08-06 18:20:15,527-[26: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
main-DEBUG-  2021-08-06 18:20:15,529-[26: INFO: LoRa MAC  ] Unable to send frame {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
