[27: INFO: LoRa RPL  ] Button pushed
[27: INFO: LoRa MAC  ] Init LoRa MAC
[27: INFO: LoRa MAC  ] Node ID: 24859
[27: INFO: LoRa MAC  ] New Link-layer address: 5f75.6d6f.6e73.611b[27: DBG : LoRa MAC  ] initial state: 0
[27: INFO: LoRa PHY  ] Init LoRa PHY
[27: DBG : LoRa MAC  ] SET retransmit timer
[27: DBG : LoRa MAC  ] initialization complete
[27: INFO: LoRa PHY  ] Write UART:mac pause
[27: INFO: LoRa PHY  ] UART response:4294967245
[27: INFO: LoRa PHY  ] Write UART:radio set freq 868100000
[27: INFO: LoRa PHY  ] UART response:ok
[28: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[28: INFO: LoRa PHY  ] UART response:ok
[28: INFO: LoRa PHY  ] Write UART:radio tx 1B611B01000000
[28: INFO: LoRa PHY  ] UART response:ok
[29: INFO: LoRa PHY  ] UART response:radio_tx_ok
[29: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[29: INFO: LoRa PHY  ] UART response:ok
[29: INFO: LoRa PHY  ] Write UART:radio rx 0
[29: INFO: LoRa PHY  ] UART response:ok
[32: INFO: LoRa PHY  ] UART response:radio_err
[32: INFO: LoRa MAC  ] retransmit timeout !
[32: ERR : LoRa MAC  ] STOP retransmit timer thanks to retransmit_timeout
[32: DBG : LoRa MAC  ] retransmit frame: {src:27:24859 dest:1:0 k:0 seq:0 next:0 cmd:0 data:
[32: ERR : LoRa MAC  ] RESTART retransmit timer because retransmit frame
[32: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[32: INFO: LoRa PHY  ] UART response:ok
[33: INFO: LoRa PHY  ] Write UART:radio tx 1B611B01000000
[33: INFO: LoRa PHY  ] UART response:ok
[34: INFO: LoRa PHY  ] UART response:radio_tx_ok
[34: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[34: INFO: LoRa PHY  ] UART response:ok
[34: INFO: LoRa PHY  ] Write UART:radio rx 0
[34: INFO: LoRa PHY  ] UART response:ok
[35: INFO: LoRa PHY  ] UART response:radio_rx  0100001B611B8102
[35: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:1 seq:0 next:0 cmd:1 data:02
[35: DBG : LoRa MAC  ] JOIN RESPONSE
[35: DBG : LoRa MAC  ] state = READY
[35: DBG : LoRa MAC  ] STOP retransmit timer
[35: INFO: LoRa MAC  ] Lora Root joined
[35: INFO: LoRa MAC  ] Node addr: 2:24859[35: INFO: LoRa MAC  ] 
[35: DBG : LoRa MAC  ] SEND ack 0 to 1:0[35: DBG : LoRa MAC  ] 
[35: DBG : LoRa MAC  ] START TX_PROCESS
[35: DBG : LoRa MAC  ] MAC_TX process started
[35: DBG : LoRa MAC  ] SET query timer
[35: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[35: INFO: LoRa PHY  ] UART response:ok
[35: INFO: LoRa PHY  ] Write UART:radio tx 02611B01000003
[35: INFO: LoRa PHY  ] UART response:ok
[36: INFO: LoRa PHY  ] UART response:radio_tx_ok
[45: INFO: LoRa MAC  ] query timeout !
[45: ERR : LoRa MAC  ] STOP query timer thanks to query_timeout
[45: DBG : LoRa MAC  ] query frame built
[45: DBG : LoRa MAC  ] MAC_SEND frame: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
[45: DBG : LoRa MAC  ] append to buffer
[45: DBG : LoRa MAC  ] post new_tx_frame_event to TX_PROCESS
[45: DBG : LoRa MAC  ] frame from buffer: {src:2:24859 dest:1:0 k:0 seq:1 next:0 cmd:6 data:
[45: DBG : LoRa MAC  ] buffer size: 0
[45: DBG : LoRa MAC  ] frame sended to PHY layer
[45: DBG : LoRa MAC  ] START retransmit timer in mac_tx process
[45: DBG : LoRa MAC  ] Listen during 3 s
[45: DBG : LoRa MAC  ] wait state change to READY
[45: INFO: LoRa PHY  ] Write UART:radio set wdt 0
[45: INFO: LoRa PHY  ] UART response:ok
[45: INFO: LoRa PHY  ] Write UART:radio tx 02611B01000046
[45: INFO: LoRa PHY  ] UART response:ok
[46: INFO: LoRa PHY  ] UART response:radio_tx_ok
[46: INFO: LoRa PHY  ] Write UART:radio set wdt 3000
[46: INFO: LoRa PHY  ] UART response:ok
[46: INFO: LoRa PHY  ] Write UART:radio rx 0
[46: INFO: LoRa PHY  ] UART response:ok
[47: INFO: LoRa PHY  ] UART response:radio_rx  0100001B611B8102--------------------------------- pk reçoit ça ? c'est la join response. seq du ack incorrect ?
[47: INFO: LoRa MAC  ] RX LoRa frame: {src:1:0 dest:27:24859 k:1 seq:0 next:0 cmd:1 data:02
[47: INFO: LoRa MAC  ] unexpected SN -> retransmit last frame
[47: INFO: LoRa MAC  ] retransmit timeout !
